OrderID,Cities,Countries
10974,Oulu,Finland
10975,Brandenburg,Germany
10976,Torino,Italy
10977,Luleå,Sweden
10978,Brandenburg,Germany
10979,Oulu,Finland
10980,Rio de Janeiro,Brazil
10981,Boise,USA
10982,Genève,Switzerland
10983,Cowes,UK
10984,Strasbourg,France
10985,Campinas,Brazil
10986,Helsinki,Finland
10987,Rio de Janeiro,Brazil
10988,I. de Margarita,Venezuela
10989,Münster,Germany
10990,Aachen,Germany
10991,Köln,Germany
10992,Torino,Italy
10993,Elgin,USA
10994,Lille,France
10995,Aachen,Germany
10996,Münster,Germany
10997,Toulouse,France
10998,Montréal,Canada
10999,Lisboa,Portugal
11000,Bergamo,Italy
11001,México D.F.,Mexico
11002,San Cristóbal,Venezuela
11003,I. de Margarita,Venezuela
11004,Portland,USA
11005,Genève,Switzerland
11006,Torino,Italy
11007,Aachen,Germany
11008,London,UK
11009,København,Denmark
11010,Albuquerque,USA
11011,Frankfurt a.M.,Germany
11012,Barcelona,Spain
11013,Reims,France
11014,Walla,Poland
11015,Anchorage,USA
11016,Lille,France
11017,Helsinki,Finland
11018,Elgin,USA
11019,Campinas,Brazil
11020,Helsinki,Finland
11021,Lille,France
11022,Paris,France
11023,Paris,France
11024,Århus,Denmark
11025,Strasbourg,France
11026,Sevilla,Spain
11027,Aachen,Germany
11028,Stavern,Norway
11029,Strasbourg,France
11030,Köln,Germany
11031,Barquisimeto,Venezuela
11032,Cork,Ireland
11033,London,UK
11034,Rio de Janeiro,Brazil
11035,Portland,USA
11036,Stavern,Norway
11037,Boise,USA
11038,Reims,France
11039,Lander,USA
11040,Charleroi,Belgium
11041,Charleroi,Belgium
11042,Campinas,Brazil
11043,Sevilla,Spain
11044,Bern,Switzerland
11045,Buenos Aires,Argentina
11046,Graz,Austria
11047,Nantes,France
11048,Luleå,Sweden
11049,Campinas,Brazil
11050,Stavern,Norway
11051,Stavern,Norway
11052,Lyon,France
11053,Lyon,France
11054,Salzburg,Austria
11055,Nantes,France
11056,Leipzig,Germany
11057,Strasbourg,France
11058,Lyon,France
11059,Torino,Italy
11060,São Paulo,Brazil
11061,México D.F.,Mexico
11062,København,Denmark
11063,Reims,France
11064,Brandenburg,Germany
11065,Bern,Switzerland
11066,Madrid,Spain
11067,Cunewalde,Germany
11068,Barcelona,Spain
11069,København,Denmark
11070,Elgin,USA
11071,Genève,Switzerland
11072,Stavern,Norway
11073,Århus,Denmark
11074,I. de Margarita,Venezuela
11075,Boise,USA
11076,Bergamo,Italy
11077,Elgin,USA
11078,Graz,Austria
11079,Anchorage,USA
11080,Lyon,France
11081,Barquisimeto,Venezuela
11082,Reggio Emilia,Italy
11083,Resende,Brazil
11084,Montréal,Canada
11085,Charleroi,Belgium
11086,Paris,France
11087,Bergamo,Italy
11088,Lander,USA
11089,Stuttgart,Germany
11090,Cunewalde,Germany
11091,Charleroi,Belgium
11092,Nantes,France
11093,Århus,Denmark
11094,Campinas,Brazil
11095,I. de Margarita,Venezuela
11096,Strasbourg,France
11097,Seattle,USA
11098,London,UK
11099,London,UK
11100,London,UK
11101,Elgin,USA
11102,Köln,Germany
11103,Bern,Switzerland
11104,Århus,Denmark
11105,Cowes,UK
11106,Seattle,USA
11107,Buenos Aires,Argentina
11108,Buenos Aires,Argentina
11109,München,Germany
11110,Paris,France
11111,Brandenburg,Germany
11112,Salzburg,Austria
11113,Strasbourg,France
11114,Münster,Germany
11115,Reims,France
11116,København,Denmark
11117,London,UK
11118,Salzburg,Austria
11119,Lander,USA
11120,Lander,USA
11121,Bergamo,Italy
11122,Campinas,Brazil
11123,Graz,Austria
11124,Seattle,USA
11125,Graz,Austria
11126,Lisboa,Portugal
11127,Köln,Germany
11128,Buenos Aires,Argentina
11129,Portland,USA
11130,Elgin,USA
11131,Luleå,Sweden
11132,Elgin,USA
11133,Sevilla,Spain
11134,Lander,USA
11135,Barcelona,Spain
11136,Leipzig,Germany
11137,Lisboa,Portugal
11138,Albuquerque,USA
11139,Cowes,UK
11140,São Paulo,Brazil
11141,I. de Margarita,Venezuela
11142,I. de Margarita,Venezuela
11143,Helsinki,Finland
11144,I. de Margarita,Venezuela
11145,Salzburg,Austria
11146,Barcelona,Spain
11147,Anchorage,USA
11148,Albuquerque,USA
11149,Luleå,Sweden
11150,Resende,Brazil
11151,Frankfurt a.M.,Germany
11152,Albuquerque,USA
11153,Torino,Italy
11154,Lander,USA
11155,Madrid,Spain
11156,Luleå,Sweden
11157,São Paulo,Brazil
11158,Lisboa,Portugal
11159,Madrid,Spain
11160,Genève,Switzerland
11161,Köln,Germany
11162,Luleå,Sweden
11163,San Cristóbal,Venezuela
11164,Resende,Brazil
11165,Cunewalde,Germany
11166,Barquisimeto,Venezuela
11167,Lander,USA
11168,Rio de Janeiro,Brazil
11169,Sevilla,Spain
11170,Portland,USA
11171,Münster,Germany
11172,Aachen,Germany
11173,Boise,USA
