OrderID,Paris,France
10444,København,Denmark
10445,Aachen,Germany
10446,Genève,Switzerland
10447,Campinas,Brazil
10448,Seattle,USA
10449,Aachen,Germany
10450,Strasbourg,France
10451,Genève,Switzerland
10452,Cork,Ireland
10453,Tsawassen,Canada
10454,Rio de Janeiro,Brazil
10455,Aachen,Germany
10456,Aachen,Germany
10457,São Paulo,Brazil
10458,Elgin,USA
10459,Boise,USA
10460,London,UK
10461,Anchorage,USA
10462,São Paulo,Brazil
10463,Elgin,USA
10464,Stavern,Norway
10465,Paris,France
10466,München,Germany
10467,I. de Margarita,Venezuela
10468,Cowes,UK
10469,Tsawassen,Canada
10470,Stavern,Norway
10471,Resende,Brazil
10472,Cunewalde,Germany
10473,Leipzig,Germany
10474,Paris,France
10475,Caracas,Venezuela
10476,Bräcke,Sweden
10477,México D.F.,Mexico
10478,Münster,Germany
10479,Reims,France
10480,México D.F.,Mexico
10481,Reggio Emilia,Italy
10482,Montréal,Canada
10483,Frankfurt a.M.,Germany
10484,Helsinki,Finland
10485,Resende,Brazil
10486,Walla,Poland
10487,Paris,France
10488,Elgin,USA
10489,Reims,France
10490,Paris,France
10491,Cowes,UK
10492,Cork,Ireland
10493,Brandenburg,Germany
10494,Helsinki,Finland
10495,Toulouse,France
10496,Graz,Austria
10497,São Paulo,Brazil
10498,Münster,Germany
10499,Cunewalde,Germany
10500,Strasbourg,France
10501,Nantes,France
10502,Montréal,Canada
10503,Köln,Germany
10504,Cork,Ireland
10505,Torino,Italy
10506,Barcelona,Spain
10507,Montréal,Canada
10508,Charleroi,Belgium
10509,Genève,Switzerland
10510,Sevilla,Spain
10511,Münster,Germany
10512,Buenos Aires,Argentina
10513,Albuquerque,USA
10514,Leipzig,Germany
10515,Walla,Poland
10516,Helsinki,Finland
10517,Reggio Emilia,Italy
10518,Nantes,France
10519,Reims,France
10520,Seattle,USA
10521,Cunewalde,Germany
10522,Torino,Italy
10523,Leipzig,Germany
10524,Nantes,France
10525,Lille,France
10526,Seattle,USA
10527,Tsawassen,Canada
10528,Stavern,Norway
10529,Köln,Germany
10530,Paris,France
10531,Genève,Switzerland
10532,Aachen,Germany
10533,Cunewalde,Germany
10534,Münster,Germany
10535,Lille,France
10536,São Paulo,Brazil
10537,Bergamo,Italy
10538,Barcelona,Spain
10539,Madrid,Spain
10540,Lander,USA
10541,Lisboa,Portugal
10542,São Paulo,Brazil
10543,Lille,France
10544,Walla,Poland
10545,Charleroi,Belgium
10546,København,Denmark
10547,Aachen,Germany
10548,Rio de Janeiro,Brazil
10549,São Paulo,Brazil
10550,Torino,Italy
10551,Lyon,France
10552,Köln,Germany
10553,Stuttgart,Germany
10554,Barquisimeto,Venezuela
10555,Graz,Austria
10556,Lyon,France
10557,Rio de Janeiro,Brazil
10558,San Cristóbal,Venezuela
10559,Marseille,France
10560,Montréal,Canada
10561,Bern,Switzerland
10562,Montréal,Canada
10563,Tsawassen,Canada
10564,Boise,USA
10565,Anchorage,USA
10566,Marseille,France
