OrderID,Cities,Countries
10248,Helsinki,Finland
10249,São Paulo,Brazil
10250,Rio de Janeiro,Brazil
10251,Lyon,France
10252,Charleroi,Belgium
10253,Rio de Janeiro,Brazil
10254,Bern,Switzerland
10255,Genève,Switzerland
10256,Resende,Brazil
10257,San Cristóbal,Venezuela
10258,Graz,Austria
10259,México D.F.,Mexico
10260,Anchorage,USA
10261,Rio de Janeiro,Brazil
10262,Albuquerque,USA
10263,Graz,Austria
10264,Bräcke,Sweden
10265,Strasbourg,France
10266,Oulu,Finland
10267,München,Germany
10268,Caracas,Venezuela
10269,Seattle,USA
10270,Oulu,Finland
10271,Lander,USA
10272,Albuquerque,USA
10273,Cunewalde,Germany
10274,Reims,France
10275,Bergamo,Italy
10276,México D.F.,Mexico
10277,Leipzig,Germany
10278,Luleå,Sweden
10279,Frankfurt a.M.,Germany
10280,Luleå,Sweden
10281,Madrid,Spain
10282,Madrid,Spain
10283,Barquisimeto,Venezuela
10284,Frankfurt a.M.,Germany
10285,Cunewalde,Germany
10286,Cunewalde,Germany
10287,Rio de Janeiro,Brazil
10288,Reggio Emilia,Italy
10289,London,UK
10290,São Paulo,Brazil
10291,Rio de Janeiro,Brazil
10292,São Paulo,Brazil
10293,México D.F.,Mexico
10294,Albuquerque,USA
10295,Reims,France
10296,Barquisimeto,Venezuela
10297,Strasbourg,France
10298,Cork,Ireland
10299,Rio de Janeiro,Brazil
10300,Bergamo,Italy
10301,Stuttgart,Germany
10302,Charleroi,Belgium
10303,Sevilla,Spain
10304,México D.F.,Mexico
10305,Anchorage,USA
10306,Madrid,Spain
10307,Portland,USA
10308,México D.F.,Mexico
10309,Cork,Ireland
10310,Portland,USA
10311,Nantes,France
10312,Stuttgart,Germany
10313,Cunewalde,Germany
10314,Albuquerque,USA
10315,Cowes,UK
10316,Albuquerque,USA
10317,Portland,USA
10318,Cowes,UK
10319,México D.F.,Mexico
10320,Oulu,Finland
10321,Cowes,UK
10322,México D.F.,Mexico
10323,Brandenburg,Germany
10324,Boise,USA
10325,Brandenburg,Germany
10326,Madrid,Spain
10327,Bräcke,Sweden
10328,Lisboa,Portugal
10329,Lander,USA
10330,Barquisimeto,Venezuela
10331,Marseille,France
10332,Montréal,Canada
10333,Oulu,Finland
10334,Lyon,France
10335,Cork,Ireland
10336,Lisboa,Portugal
10337,München,Germany
10338,Anchorage,USA
10339,Montréal,Canada
10340,Marseille,France
10341,København,Denmark
10342,München,Germany
10343,Frankfurt a.M.,Germany
10344,Seattle,USA
10345,Cunewalde,Germany
10346,Albuquerque,USA
10347,São Paulo,Brazil
10348,Stuttgart,Germany
10349,Lander,USA
10350,Toulouse,France
10351,Graz,Austria
10352,Lisboa,Portugal
10353,Salzburg,Austria
10354,México D.F.,Mexico
10355,London,UK
10356,Stuttgart,Germany
10357,Barquisimeto,Venezuela
10358,Toulouse,France
10359,London,UK
10360,Strasbourg,France
10361,Cunewalde,Germany
10362,Marseille,France
10363,Aachen,Germany
10364,London,UK
10365,México D.F.,Mexico
10366,Barcelona,Spain
10367,Århus,Denmark
10368,Graz,Austria
10369,Lander,USA
10370,Bern,Switzerland
10371,Toulouse,France
10372,São Paulo,Brazil
10373,Cork,Ireland
10374,Walla,Poland
10375,Elgin,USA
10376,Montréal,Canada
10377,London,UK
10378,Bräcke,Sweden
10379,Rio de Janeiro,Brazil
10380,Cork,Ireland
10381,Barquisimeto,Venezuela
10382,Graz,Austria
10383,London,UK
10384,Luleå,Sweden
10385,Lander,USA
10386,São Paulo,Brazil
10387,Stavern,Norway
10388,London,UK
10389,Tsawassen,Canada
10390,Graz,Austria
10391,Aachen,Germany
10392,Salzburg,Austria
10393,Boise,USA
10394,Elgin,USA
10395,San Cristóbal,Venezuela
10396,München,Germany
10397,Lisboa,Portugal
10398,Boise,USA
10399,Århus,Denmark
10400,London,UK
10401,Albuquerque,USA
10402,Graz,Austria
10403,Graz,Austria
10404,Bergamo,Italy
10405,I. de Margarita,Venezuela
10406,São Paulo,Brazil
10407,Köln,Germany
10408,Lille,France
10409,Buenos Aires,Argentina
10410,Tsawassen,Canada
10411,Tsawassen,Canada
10412,Oulu,Finland
10413,Toulouse,France
10414,São Paulo,Brazil
10415,Elgin,USA
10416,Oulu,Finland
10417,København,Denmark
10418,Cunewalde,Germany
10419,Genève,Switzerland
10420,Resende,Brazil
10421,Rio de Janeiro,Brazil
10422,Torino,Italy
10423,Campinas,Brazil
10424,Montréal,Canada
10425,Toulouse,France
10426,Barcelona,Spain
10427,Salzburg,Austria
10428,Reggio Emilia,Italy
10429,Cork,Ireland
10430,Graz,Austria
10431,Tsawassen,Canada
10432,Lander,USA
10433,Lisboa,Portugal
10434,Bräcke,Sweden
10435,London,UK
10436,Strasbourg,France
10437,Oulu,Finland
10438,Münster,Germany
10439,Montréal,Canada
10440,Boise,USA
10441,Anchorage,USA
10442,Graz,Austria
10443,Reggio Emilia,Italy
