OrderID,Cities,Countries
11418,København,Denmark
11419,Campinas,Brazil
11420,Münster,Germany
11421,Buenos Aires,Argentina
11422,København,Denmark
11423,København,Denmark
11424,Genève,Switzerland
11425,Tsawassen,Canada
11426,Barcelona,Spain
11427,Lander,USA
11428,Luleå,Sweden
11429,Frankfurt a.M.,Germany
11430,Nantes,France
11431,Cunewalde,Germany
11432,Münster,Germany
11433,Bräcke,Sweden
11434,Graz,Austria
11435,Tsawassen,Canada
11436,Boise,USA
11437,Charleroi,Belgium
11438,Madrid,Spain
11439,Cork,Ireland
11440,Münster,Germany
11441,Marseille,France
11442,Reggio Emilia,Italy
11443,København,Denmark
11444,Tsawassen,Canada
11445,Cowes,UK
11446,Rio de Janeiro,Brazil
11447,São Paulo,Brazil
11448,Brandenburg,Germany
11449,Caracas,Venezuela
11450,Bergamo,Italy
11451,Buenos Aires,Argentina
11452,Rio de Janeiro,Brazil
11453,Buenos Aires,Argentina
11454,Leipzig,Germany
11455,Torino,Italy
11456,Köln,Germany
11457,Lyon,France
11458,Madrid,Spain
11459,México D.F.,Mexico
11460,Barcelona,Spain
11461,Stavern,Norway
11462,Torino,Italy
11463,Marseille,France
11464,Bräcke,Sweden
11465,I. de Margarita,Venezuela
11466,Graz,Austria
11467,Portland,USA
11468,Münster,Germany
11469,Lander,USA
11470,Münster,Germany
11471,Nantes,France
11472,Reggio Emilia,Italy
11473,Lander,USA
11474,København,Denmark
11475,Caracas,Venezuela
11476,Oulu,Finland
11477,Montréal,Canada
11478,Tsawassen,Canada
11479,Luleå,Sweden
11480,Caracas,Venezuela
11481,Elgin,USA
11482,Montréal,Canada
11483,Köln,Germany
11484,Aachen,Germany
11485,Cork,Ireland
11486,Luleå,Sweden
11487,Montréal,Canada
11488,Seattle,USA
11489,Portland,USA
11490,Anchorage,USA
11491,I. de Margarita,Venezuela
11492,Albuquerque,USA
11493,Lisboa,Portugal
11494,Paris,France
11495,Frankfurt a.M.,Germany
11496,Brandenburg,Germany
11497,México D.F.,Mexico
11498,Helsinki,Finland
11499,Lander,USA
11500,Brandenburg,Germany
11501,München,Germany
11502,Reims,France
11503,México D.F.,Mexico
11504,Caracas,Venezuela
11505,Seattle,USA
11506,Oulu,Finland
11507,México D.F.,Mexico
11508,Anchorage,USA
11509,Salzburg,Austria
11510,Helsinki,Finland
11511,San Cristóbal,Venezuela
11512,Frankfurt a.M.,Germany
11513,Brandenburg,Germany
11514,Montréal,Canada
11515,Lisboa,Portugal
11516,Albuquerque,USA
11517,Paris,France
11518,Boise,USA
11519,Paris,France
11520,Stuttgart,Germany
11521,Bergamo,Italy
11522,Cunewalde,Germany
11523,Rio de Janeiro,Brazil
11524,Barcelona,Spain
11525,Tsawassen,Canada
11526,Buenos Aires,Argentina
11527,Montréal,Canada
11528,Lyon,France
11529,Torino,Italy
11530,Portland,USA
11531,Nantes,France
11532,Lander,USA
11533,Helsinki,Finland
11534,Elgin,USA
11535,Bern,Switzerland
11536,Salzburg,Austria
11537,Boise,USA
11538,Oulu,Finland
11539,Reggio Emilia,Italy
11540,Frankfurt a.M.,Germany
11541,Elgin,USA
11542,Cork,Ireland
11543,Oulu,Finland
11544,Lander,USA
11545,Helsinki,Finland
11546,Barquisimeto,Venezuela
11547,Lille,France
11548,Rio de Janeiro,Brazil
11549,Barquisimeto,Venezuela
11550,Münster,Germany
11551,Leipzig,Germany
11552,Albuquerque,USA
11553,Frankfurt a.M.,Germany
11554,Reims,France
11555,Köln,Germany
11556,Bergamo,Italy
11557,Cork,Ireland
11558,Rio de Janeiro,Brazil
11559,Reggio Emilia,Italy
11560,Portland,USA
11561,London,UK
11562,Walla,Poland
11563,Caracas,Venezuela
11564,Tsawassen,Canada
11565,Portland,USA
11566,Leipzig,Germany
11567,Campinas,Brazil
11568,Köln,Germany
11569,Madrid,Spain
11570,London,UK
11571,Portland,USA
11572,Cowes,UK
11573,Tsawassen,Canada
11574,Strasbourg,France
11575,Luleå,Sweden
11576,Resende,Brazil
11577,México D.F.,Mexico
11578,Reggio Emilia,Italy
11579,Paris,France
11580,Torino,Italy
11581,Cowes,UK
11582,Seattle,USA
11583,Münster,Germany
11584,San Cristóbal,Venezuela
11585,Helsinki,Finland
11586,Stuttgart,Germany
11587,Torino,Italy
11588,Montréal,Canada
11589,Walla,Poland
11590,Campinas,Brazil
11591,Barquisimeto,Venezuela
11592,Stavern,Norway
11593,Rio de Janeiro,Brazil
11594,München,Germany
11595,Bergamo,Italy
11596,Montréal,Canada
11597,Albuquerque,USA
11598,Walla,Poland
11599,Bern,Switzerland
11600,Barquisimeto,Venezuela
11601,Buenos Aires,Argentina
11602,Charleroi,Belgium
11603,Elgin,USA
11604,Graz,Austria
11605,Barcelona,Spain
11606,Elgin,USA
11607,São Paulo,Brazil
11608,Aachen,Germany
11609,Lille,France
11610,London,UK
11611,Frankfurt a.M.,Germany
11612,Boise,USA
11613,I. de Margarita,Venezuela
11614,Luleå,Sweden
11615,Köln,Germany
11616,Oulu,Finland
11617,México D.F.,Mexico
11618,Münster,Germany
11619,Tsawassen,Canada
11620,Münster,Germany
11621,Aachen,Germany
11622,Cunewalde,Germany
11623,Leipzig,Germany
11624,London,UK
11625,Nantes,France
11626,Walla,Poland
11627,Madrid,Spain
11628,Frankfurt a.M.,Germany
11629,Köln,Germany
11630,San Cristóbal,Venezuela
11631,Bräcke,Sweden
11632,Leipzig,Germany
11633,Århus,Denmark
11634,Toulouse,France
11635,Århus,Denmark
11636,Cowes,UK
11637,Lisboa,Portugal
11638,Rio de Janeiro,Brazil
11639,Frankfurt a.M.,Germany
11640,Paris,France
11641,Cork,Ireland
11642,Cowes,UK
11643,Helsinki,Finland
11644,Cork,Ireland
11645,Barquisimeto,Venezuela
11646,Buenos Aires,Argentina
11647,Elgin,USA
11648,México D.F.,Mexico
11649,London,UK
11650,Oulu,Finland
11651,Nantes,France
11652,Campinas,Brazil
11653,Frankfurt a.M.,Germany
11654,Albuquerque,USA
11655,Bergamo,Italy
11656,Luleå,Sweden
11657,Brandenburg,Germany
11658,Portland,USA
11659,Walla,Poland
