OrderID,Cities,Countries
10744,Stavern,Norway
10745,Köln,Germany
10746,Münster,Germany
10747,México D.F.,Mexico
10748,Lander,USA
10749,Strasbourg,France
10750,Campinas,Brazil
10751,København,Denmark
10752,Caracas,Venezuela
10753,Toulouse,France
10754,Buenos Aires,Argentina
10755,Strasbourg,France
10756,Lander,USA
10757,Torino,Italy
10758,Elgin,USA
10759,Walla,Poland
10760,Frankfurt a.M.,Germany
10761,Stuttgart,Germany
10762,Boise,USA
10763,Brandenburg,Germany
10764,Montréal,Canada
10765,Boise,USA
10766,Madrid,Spain
10767,Charleroi,Belgium
10768,Barcelona,Spain
10769,Cunewalde,Germany
10770,Portland,USA
10771,Tsawassen,Canada
10772,São Paulo,Brazil
10773,Elgin,USA
10774,Albuquerque,USA
10775,Albuquerque,USA
10776,Graz,Austria
10777,Portland,USA
10778,Rio de Janeiro,Brazil
10779,Paris,France
10780,I. de Margarita,Venezuela
10781,Portland,USA
10782,Buenos Aires,Argentina
10783,Buenos Aires,Argentina
10784,Cork,Ireland
10785,Resende,Brazil
10786,Reggio Emilia,Italy
10787,Elgin,USA
10788,Cork,Ireland
10789,Bern,Switzerland
10790,Barquisimeto,Venezuela
10791,Bräcke,Sweden
10792,Toulouse,France
10793,Cunewalde,Germany
10794,Luleå,Sweden
10795,Anchorage,USA
10796,Bergamo,Italy
10797,København,Denmark
10798,Cunewalde,Germany
10799,Albuquerque,USA
10800,México D.F.,Mexico
10801,Anchorage,USA
10802,München,Germany
10803,Lille,France
10804,Portland,USA
10805,Cork,Ireland
10806,Nantes,France
10807,Oulu,Finland
10808,Lille,France
10809,Århus,Denmark
10810,Graz,Austria
10811,I. de Margarita,Venezuela
10812,Buenos Aires,Argentina
10813,Stavern,Norway
10814,Toulouse,France
10815,Reggio Emilia,Italy
10816,Bern,Switzerland
10817,Brandenburg,Germany
10818,Cunewalde,Germany
10819,Sevilla,Spain
10820,Bern,Switzerland
10821,London,UK
10822,Leipzig,Germany
10823,Marseille,France
10824,Buenos Aires,Argentina
10825,Aachen,Germany
10826,Charleroi,Belgium
10827,México D.F.,Mexico
10828,Bräcke,Sweden
10829,Reggio Emilia,Italy
10830,København,Denmark
10831,Lyon,France
10832,Charleroi,Belgium
10833,Genève,Switzerland
10834,Bergamo,Italy
10835,Montréal,Canada
10836,Reggio Emilia,Italy
10837,Tsawassen,Canada
10838,I. de Margarita,Venezuela
10839,Albuquerque,USA
10840,Caracas,Venezuela
10841,I. de Margarita,Venezuela
10842,Luleå,Sweden
10843,Resende,Brazil
10844,Köln,Germany
10845,London,UK
10846,Barquisimeto,Venezuela
10847,Barcelona,Spain
10848,Helsinki,Finland
10849,Toulouse,France
10850,Rio de Janeiro,Brazil
10851,Torino,Italy
10852,Montréal,Canada
10853,Madrid,Spain
10854,Toulouse,France
10855,San Cristóbal,Venezuela
10856,Resende,Brazil
10857,Toulouse,France
10858,Portland,USA
