OrderID,Cities,Countries
11174,Lille,France
11175,Resende,Brazil
11176,Genève,Switzerland
11177,Walla,Poland
11178,Albuquerque,USA
11179,Rio de Janeiro,Brazil
11180,Reggio Emilia,Italy
11181,Århus,Denmark
11182,Leipzig,Germany
11183,København,Denmark
11184,Stuttgart,Germany
11185,Lyon,France
11186,Helsinki,Finland
11187,Lyon,France
11188,London,UK
11189,Helsinki,Finland
11190,Paris,France
11191,Aachen,Germany
11192,Barquisimeto,Venezuela
11193,Portland,USA
11194,Montréal,Canada
11195,Campinas,Brazil
11196,Caracas,Venezuela
11197,Reims,France
11198,Aachen,Germany
11199,Nantes,France
11200,Genève,Switzerland
11201,Cowes,UK
11202,Brandenburg,Germany
11203,Luleå,Sweden
11204,Rio de Janeiro,Brazil
11205,Münster,Germany
11206,Köln,Germany
11207,Madrid,Spain
11208,Lyon,France
11209,Münster,Germany
11210,Caracas,Venezuela
11211,Genève,Switzerland
11212,Brandenburg,Germany
11213,Torino,Italy
11214,Campinas,Brazil
11215,Tsawassen,Canada
11216,Resende,Brazil
11217,Montréal,Canada
11218,Brandenburg,Germany
11219,I. de Margarita,Venezuela
11220,Aachen,Germany
11221,Lyon,France
11222,Frankfurt a.M.,Germany
11223,Rio de Janeiro,Brazil
11224,Strasbourg,France
11225,München,Germany
11226,Luleå,Sweden
11227,Münster,Germany
11228,Torino,Italy
11229,Luleå,Sweden
11230,Nantes,France
11231,Lander,USA
11232,Frankfurt a.M.,Germany
11233,Münster,Germany
11234,Montréal,Canada
11235,Cork,Ireland
11236,Tsawassen,Canada
11237,Helsinki,Finland
11238,Lander,USA
11239,Luleå,Sweden
11240,Cunewalde,Germany
11241,Köln,Germany
11242,Stuttgart,Germany
11243,Seattle,USA
11244,Paris,France
11245,Köln,Germany
11246,København,Denmark
11247,Graz,Austria
11248,Barcelona,Spain
11249,København,Denmark
11250,Paris,France
11251,Charleroi,Belgium
11252,Portland,USA
11253,London,UK
11254,Aachen,Germany
11255,Toulouse,France
11256,Montréal,Canada
11257,München,Germany
11258,Barquisimeto,Venezuela
11259,Aachen,Germany
11260,Genève,Switzerland
11261,Frankfurt a.M.,Germany
11262,Sevilla,Spain
11263,São Paulo,Brazil
11264,København,Denmark
11265,Montréal,Canada
11266,Elgin,USA
11267,London,UK
11268,Cowes,UK
11269,Cunewalde,Germany
11270,Portland,USA
11271,London,UK
11272,Montréal,Canada
11273,Charleroi,Belgium
11274,Buenos Aires,Argentina
11275,Helsinki,Finland
11276,Aachen,Germany
11277,Resende,Brazil
11278,Toulouse,France
11279,Oulu,Finland
11280,Århus,Denmark
11281,Barquisimeto,Venezuela
11282,Luleå,Sweden
11283,Lander,USA
11284,Stavern,Norway
11285,São Paulo,Brazil
11286,Seattle,USA
11287,Torino,Italy
11288,Stavern,Norway
11289,Elgin,USA
11290,Aachen,Germany
11291,Oulu,Finland
11292,México D.F.,Mexico
11293,Århus,Denmark
11294,Genève,Switzerland
11295,Cowes,UK
11296,Aachen,Germany
11297,Genève,Switzerland
11298,Reims,France
11299,Charleroi,Belgium
11300,Reggio Emilia,Italy
11301,San Cristóbal,Venezuela
11302,München,Germany
11303,San Cristóbal,Venezuela
11304,Stuttgart,Germany
11305,Cunewalde,Germany
11306,Nantes,France
11307,Münster,Germany
11308,Stavern,Norway
11309,Köln,Germany
11310,Lyon,France
11311,Genève,Switzerland
11312,Reggio Emilia,Italy
11313,Sevilla,Spain
11314,São Paulo,Brazil
11315,Leipzig,Germany
11316,Sevilla,Spain
11317,Salzburg,Austria
11318,Torino,Italy
11319,Sevilla,Spain
11320,Cunewalde,Germany
11321,Tsawassen,Canada
11322,Stuttgart,Germany
11323,Anchorage,USA
11324,Bern,Switzerland
11325,Cunewalde,Germany
11326,Anchorage,USA
11327,Graz,Austria
11328,München,Germany
11329,Buenos Aires,Argentina
11330,Rio de Janeiro,Brazil
11331,Portland,USA
11332,Strasbourg,France
11333,Bern,Switzerland
11334,Charleroi,Belgium
11335,Buenos Aires,Argentina
11336,Barquisimeto,Venezuela
11337,Bräcke,Sweden
11338,Lisboa,Portugal
11339,México D.F.,Mexico
11340,Genève,Switzerland
11341,Helsinki,Finland
11342,Luleå,Sweden
11343,San Cristóbal,Venezuela
11344,Caracas,Venezuela
11345,Anchorage,USA
11346,London,UK
11347,Aachen,Germany
11348,København,Denmark
11349,Walla,Poland
11350,Walla,Poland
11351,München,Germany
11352,Graz,Austria
11353,Stavern,Norway
11354,México D.F.,Mexico
11355,Luleå,Sweden
11356,London,UK
11357,Elgin,USA
11358,Oulu,Finland
11359,Stuttgart,Germany
11360,Brandenburg,Germany
11361,Oulu,Finland
11362,Buenos Aires,Argentina
11363,London,UK
11364,Cork,Ireland
11365,Lyon,France
11366,Tsawassen,Canada
11367,Nantes,France
11368,Barcelona,Spain
11369,Luleå,Sweden
11370,Stuttgart,Germany
11371,København,Denmark
11372,Köln,Germany
11373,Caracas,Venezuela
11374,Cunewalde,Germany
11375,Bern,Switzerland
11376,Cork,Ireland
11377,Lyon,France
11378,Albuquerque,USA
11379,Graz,Austria
11380,Lyon,France
11381,Cork,Ireland
11382,Resende,Brazil
11383,Genève,Switzerland
11384,München,Germany
11385,Leipzig,Germany
11386,Charleroi,Belgium
11387,Albuquerque,USA
11388,Sevilla,Spain
11389,Rio de Janeiro,Brazil
11390,Oulu,Finland
11391,Nantes,France
11392,Aachen,Germany
11393,Stuttgart,Germany
11394,Cowes,UK
11395,Bräcke,Sweden
11396,Lisboa,Portugal
11397,São Paulo,Brazil
11398,Stuttgart,Germany
11399,Århus,Denmark
11400,Rio de Janeiro,Brazil
11401,Cowes,UK
11402,Köln,Germany
11403,Luleå,Sweden
11404,Seattle,USA
11405,Aachen,Germany
11406,Barcelona,Spain
11407,Caracas,Venezuela
11408,Campinas,Brazil
11409,Lyon,France
11410,Boise,USA
11411,London,UK
11412,São Paulo,Brazil
11413,Walla,Poland
11414,Salzburg,Austria
11415,Münster,Germany
11416,Madrid,Spain
11417,Lander,USA
